fn_num,fn_type,status,fn_text,matched_ref
98,,,"미셸 푸코, 『헤테로토피아』, 이상길 옮김 (서울: 문학과지성사, 2014). 푸코에게 헤테로토피아는 '타자적 공간'을 의미한다. 극장은 어둠, 고정된 좌석, 외부와의 단절을 통해 일상과 분리된 고유한 경험을 창출하는 대표적인 헤테로토피아이다. 〈파란만장〉은 이 공간의 암묵적 규칙(고화질)을 위반함으로써 헤테로토피아의 경계를 무너뜨린다.",
99,,,"바쟁, 『영화란 무엇인가』, 25.",
100,,,https://vimeo.com/115480849,
101,,,"Casetti, Lumière Galaxy. 카세티에게 '디스플레이'는 전통적인 스크린의 은유(창, 프레임, 거울)와 달리, 단순히 이미지를 사용자 앞에 '현전하게' 만드는 정보의 표면을 의미한다.",
102,,,"Anne Friedberg, ""The End of Cinema: Multimedia and Technological Change,"" in Reinventing Film Studies, eds. Christine Gledhill and Linda Williams (London: Arnold, 2000), 439.",
103,,,"들뢰즈·가타리, 『천 개의 고원』.",
104,,,같은 책.,
105,,,"KT 홍보라는 태생적 목적 때문에, 이 영화는 최대한 많은 사람이 보는 것이 중요했고, 따라서 온라인 무료 공개는 처음부터 예정된 수순이다.",
106,,,"스마트폰으로 영화를 보는 것은 더 이상 '열등한' 경험이 아니라, '친밀하고(intimate)', '사적인(private)' 특성을 가진 '다른 종류의' 경험이다. 극장의 스펙터클과 스마트폰의 친밀함은 우열의 관계가 아닌, 선택의 문제이다.",
107,,,"발터 벤야민, 「기술복제시대의 예술작품」, 『발터 벤야민 선집 2: 기술복제시대의 예술작품/사진의 작은 역사 외』, 최성만 옮김 (서울: 길, 2015).",
108,,,Guillaume Python. ©PARKing CHANce. Production by MOHO FILM,
109,,,"유지나, 「〈소공녀〉, 취향의 배치와 탈영토화 여정 연구」, 『씨네포럼』 44호 (2021): 93.",
110,,,"서울시립미술관 'HIGHLIGHTS' 까르띠에 현대미술재단 소장전, PARKing CHANce 인터뷰.",
111,,,"본고에서는 J. L. 오스틴(J. L. Austin)으로부터 시작되어 확장된 수행(Performance) 개념과, 창작자의 의도적 설계를 강조하는 시나리오(Scenario) 개념을 결합한다. 이는 〈파란만장〉의 사례처럼, 창작자가 단순히 결과물(영화 파일)을 만드는 것을 넘어, 관객이 특정 시공간(미술관)에서 겪게 될 총체적 경험의 과정 자체를 연출하고 통제하는 새로운 창작 방법론을 지칭한다.",
112,,,"PARKing CHANce, 2011, [29:12] 캡처.",
113,,,"PARKing CHANce, 2011, [ 29:12] 캡처.",
114,,,"'정동적 과잉'은 감각적·정서적 표현을 의미한다. 공포, 멜로드라마, 포르노그래피와 같은 '신체 장르(body genres)'에서 주로 나타난다.",
115,,,"PARKing CHANce, 2011, [8:39] 캡처.",
116,,,"유지나, 「〈소공녀〉, 취향의 배치와 탈영토화 여정 연구」, 『씨네포럼』 44호 (2021): 93.",
117,,,"Steyerl, ""In Defense of the Poor Image,"" 8. 이미지의 진실은 원본의 선명함이나 재현의 정확성에 있는 것이 아니라, 그 이미지가 어떻게 유통되고, 공유되며, 새로운 맥락 속에서 어떤 정치적·사회적 의미를 획득하는가의 과정에 있다. 따라서 〈파란만장〉에서 순간적으로 드러나는 컬러 이미지는 '선명한 원본'으로의 회귀가 아니라, 오히려 이미지의 제작 조건과 기술적 한계를 폭로함으로써 관객에게 '어떤 이미지를, 어떻게 보여줄 것인가'라는 매체적 선택의 윤리를 성찰하게 만드는 수행적 장치로 기능한다.",
118,,,"들뢰즈·가타리, 『천 개의 고원』, 452–453. 이들은 '-되기'를 ""모방도 아니고 동화도 아니""며, 두 항 사이에서 공통의 탈영토화 운동을 찾아내는 것이라 설명한다. 관객은 영화와 접속하며 '수행하는 주체-되기'를 통해 기존의 자신으로부터 탈영토화된다.",
119,,,"(PARKing CHANce, 2011), [29:40] 캡처",
120,,,"Steyerl, ""In Defense of the Poor Image,"" 8. 슈타이얼은 이 글에서 이미지의 가치가 원본성이 아닌 유통과 접속의 과정에서 발생한다고 주장한다.",
121,,,"유지나, 「〈소공녀〉, 취향의 배치와 탈영토화 여정 연구」, 93. 해당 논문은 주인공 미소의 여정을 ""남들처럼 살아가는 상식적인 사회적 흐름으로부터 역행하는 미소의 소수자로서 '자신-되기' 생성 과정""으로 규정하며, '-되기'가 사회적 다수자의 길을 거부하는 소수적 실천임을 보여준다.",
